,Drug,Gene
3014,DB01442,3356
3015,DB07557,6256
3016,DB09014,10280
3017,DB07654,1111
3018,DB08453,1537
3019,DB00044,3973
3020,DB03461,10327
3021,DB01873,10383
3022,DB00880,6559
3023,DB00130,790
3024,DB00761,57468
3025,DB00404,1559
3026,DB01142,59340
3027,DB00402,2566
3028,DB00661,782
3029,DB01769,11315
3030,DB04454,2628
3031,DB01095,1557
3032,DB00269,1588
3033,DB03010,10381
3034,DB01961,6035
3035,DB00119,23539
3036,DB00252,1584
3037,DB05109,1557
3038,DB08330,7385
3039,DB00123,6545
3040,DB00484,316
3041,DB01149,1565
3042,DB01404,5743
3043,DB08029,4314
3044,DB00448,1559
3045,DB00768,6271
3046,DB04896,6532
3047,DB07916,834
3048,DB00157,3614
3049,DB07875,2159
3050,DB03802,2099
3051,DB00220,1559
3052,DB07912,58478
3053,DB01205,55879
3054,DB08442,3320
3055,DB00157,8854
3056,DB00162,1592
3057,DB06211,1800
3058,DB06218,6336
3059,DB07965,1513
3060,DB00898,2893
3061,DB01101,978
3062,DB04315,5901
3063,DB00726,3358
3064,DB01131,1544
3065,DB01253,148
3066,DB08262,3039
3067,DB08262,3040
3068,DB05280,3350
3069,DB00867,154
3070,DB03711,392399
3071,DB00157,51478
3072,DB00111,715
3073,DB00717,1557
3074,DB04559,4846
3075,DB00454,2902
3076,DB00306,2566
3077,DB03226,126
3078,DB07778,4519
3079,DB05131,2158
3080,DB00521,1565
3081,DB00633,1565
3082,DB01050,1557
3083,DB02673,43
3084,DB00921,1562
3085,DB00668,1559
3086,DB00926,5915
3087,DB04223,4842
3088,DB02386,51056
3089,DB00041,5743
3090,DB03005,43
3091,DB09014,1814
3092,DB03345,3956
3093,DB00110,714
3094,DB03271,4843
3095,DB00454,1565
3096,DB00679,1559
3097,DB00157,3293
3098,DB04757,4860
3099,DB00357,1557
3100,DB00308,781
3101,DB00619,1544
3102,DB08677,1017
3103,DB05271,1565
3104,DB06844,1017
3105,DB01149,3358
3106,DB00628,55879
3107,DB08860,54659
3108,DB00728,1135
3109,DB00425,2556
3110,DB01136,1571
3111,DB00160,18
3112,DB00321,3736
3113,DB02728,4282
3114,DB01142,3269
3115,DB01628,1544
3116,DB01007,1588
3117,DB00109,1571
3118,DB03415,34
3119,DB00313,6327
3120,DB03392,5837
3121,DB06678,151
3122,DB05816,1813
3123,DB06210,54658
3124,DB08818,55576
3125,DB02082,51762
3126,DB04522,5170
3127,DB01079,3357
3128,DB01823,5837
3129,DB01946,1760
3130,DB00171,55902
3131,DB00674,1136
3132,DB00222,6833
3133,DB00333,1576
3134,DB00157,4715
3135,DB00318,4986
3136,DB00589,3350
3137,DB00753,2554
3138,DB03814,3290
3139,DB05047,2893
3140,DB00370,3363
3141,DB08447,30814
3142,DB00114,18
3143,DB01708,2561
3144,DB00694,7155
3145,DB04272,3704
3146,DB00116,4548
3147,DB00836,773
3148,DB00370,6532
3149,DB00690,2570
3150,DB00374,1559
3151,DB00480,1003
3152,DB06930,23621
3153,DB01110,4843
3154,DB00534,6557
3155,DB03152,7053
3156,DB00363,3354
3157,DB04272,259307
3158,DB00208,1555
3159,DB04856,886
3160,DB06689,2161
3161,DB01076,1558
3162,DB06905,5527
3163,DB08003,5770
3164,DB00502,1557
3165,DB03062,4836
3166,DB08330,7388
3167,DB00312,2906
3168,DB00842,2559
3169,DB08358,7867
3170,DB01192,1565
3171,DB00540,1128
3172,DB00652,4986
3173,DB00823,5241
3174,DB04137,54963
3175,DB00334,2328
3176,DB00144,949
3177,DB00659,2558
3178,DB08641,1990
3179,DB00877,100861540
3180,DB00877,1551
3181,DB05712,1361
3182,DB00182,6571
3183,DB00973,29881
3184,DB00774,768
3185,DB03214,259307
3186,DB05259,3123
3187,DB01431,5241
3188,DB05066,4908
3189,DB02643,3479
3190,DB05153,3791
3191,DB00186,2556
3192,DB00575,146
3193,DB00945,5563
3194,DB03736,5972
3195,DB00755,1543
3196,DB00475,1565
3197,DB01049,2560
3198,DB00349,2567
3199,DB00421,775
3200,DB00897,2569
3201,DB04843,1131
3202,DB00134,22921
3203,DB00975,8654
3204,DB00155,23569
3205,DB01215,2556
3206,DB06852,1111
3207,DB00278,1577
3208,DB06898,10499
3209,DB01159,27032
3210,DB08039,801
3211,DB08039,805
3212,DB08039,808
3213,DB01016,3767
3214,DB00402,1559
3215,DB01466,4988
3216,DB00439,1555
3217,DB01483,2555
3218,DB00678,1544
3219,DB01401,5742
3220,DB02391,4860
3221,DB07104,4048
3222,DB09102,1577
3223,DB00575,1544
3224,DB00571,1557
3225,DB00114,51166
3226,DB02509,4129
3227,DB01065,4353
3228,DB06979,54363
3229,DB04853,135
3230,DB05916,5133
3231,DB01049,2565
3232,DB08883,1576
3233,DB04522,6010
3234,DB04137,6009
3235,DB00654,5737
3236,DB03847,2159
3237,DB01113,5142
3238,DB00630,5802
3239,DB01186,1813
3240,DB07645,3043
3241,DB07778,7388
3242,DB02526,5644
3243,DB02742,4124
3244,DB01104,1565
3245,DB05009,135
3246,DB00404,2556
3247,DB03310,2946
3248,DB01213,1548
3249,DB00593,8913
3250,DB00865,1576
3251,DB00157,8644
3252,DB01076,100861540
3253,DB01076,1551
3254,DB08231,5817
3255,DB06080,1436
3256,DB00909,6326
3257,DB00170,1543
3258,DB01238,1565
3259,DB04395,1969
3260,DB04786,410
3261,DB07856,5569
3262,DB08705,5292
3263,DB00390,1583
3264,DB00402,2559
3265,DB08846,23632
3266,DB00564,1577
3267,DB00721,3779
3268,DB05739,185
3269,DB01049,200909
3270,DB06774,7442
3271,DB00182,152
3272,DB00945,5562
3273,DB01708,9970
3274,DB01268,1436
3275,DB00645,6336
3276,DB00321,4986
3277,DB04374,54363
3278,DB00157,1109
3279,DB00549,1544
3280,DB04367,10188
3281,DB03277,280
3282,DB00527,590
3283,DB01873,84790
3284,DB01496,1137
3285,DB00897,2568
3286,DB00408,3359
3287,DB00175,1558
3288,DB00547,2908
3289,DB01303,135
3290,DB00157,10327
3291,DB01109,462
3292,DB00972,1571
3293,DB08560,5468
3294,DB00318,4985
3295,DB00328,54600
3296,DB00789,5226
3297,DB00157,5831
3298,DB00457,3757
3299,DB01193,1565
3300,DB04879,2321
3301,DB00172,25973
3302,DB00903,2939
3303,DB04883,1909
3304,DB03247,6446
3305,DB00732,1135
3306,DB04400,4843
3307,DB00802,1576
3308,DB01395,590
3309,DB00458,1555
3310,DB01559,2554
3311,DB07387,7167
3312,DB01200,3350
3313,DB00241,2891
3314,DB05802,3695
3315,DB00909,768
3316,DB00111,3559
3317,DB01026,1548
3318,DB06770,217
3319,DB05250,3569
3320,DB00252,100861540
3321,DB00252,1551
3322,DB01352,2554
3323,DB01766,2147
3324,DB01023,8912
3325,DB01992,8850
3326,DB07780,3845
3327,DB02007,231
3328,DB02615,5770
3330,DB06880,1803
3331,DB00799,5915
3332,DB00794,2559
3333,DB03461,3417
3334,DB00184,1139
3335,DB00184,89832
3336,DB04604,1455
3337,DB01151,3356
3338,DB00082,1579
3339,DB00297,1557
3340,DB05767,4790
3341,DB04835,1576
3343,DB02685,1508
3345,DB00134,27430
3346,DB00295,4985
3347,DB00540,1544
3348,DB00184,1565
3349,DB01254,2534
3350,DB02930,5207
3351,DB07022,2160
3352,DB00717,5241
3353,DB00081,713
3354,DB00310,6557
3355,DB01224,147
3356,DB09065,1565
3357,DB00421,2908
3358,DB00051,2209
3359,DB00108,2212
3360,DB06925,3932
3361,DB00397,150
3362,DB01589,2557
3363,DB00231,2568
3364,DB03877,760
3365,DB01008,2950
3366,DB04566,3615
3367,DB00358,1588
3368,DB01435,1576
3369,DB02901,367
3370,DB00223,2908
3371,DB04957,3757
3372,DB01565,5443
3373,DB05854,5468
3374,DB00143,2946
3375,DB00237,2562
3376,DB01151,1131
3377,DB02784,5770
3378,DB00818,2565
3379,DB05743,3356
3380,DB08828,6608
3381,DB02297,1017
3382,DB04783,58
3383,DB00983,1559
3384,DB01028,1544
3385,DB00446,1577
3386,DB07579,325
3387,DB00719,3269
3388,DB08932,1910
3389,DB00731,1559
3390,DB00500,6999
3391,DB00052,5618
3392,DB00761,6558
3393,DB00850,801
3394,DB00850,805
3395,DB00850,808
3396,DB08867,367
3397,DB01997,4846
3398,DB00755,5918
3399,DB00575,152
3400,DB00625,1559
3401,DB01110,1576
3402,DB07133,2147
3403,DB00273,2558
3404,DB09045,2740
3405,DB00842,2565
3406,DB00824,140
3407,DB01064,5296
3408,DB01037,4128
3409,DB07512,4129
3410,DB07780,2224
3412,DB00758,1066
3413,DB00231,1576
3414,DB02287,5644
3415,DB02379,2645
3416,DB04121,375
3417,DB02546,8841
3418,DB04719,1457
3419,DB00997,7153
3420,DB00227,1558
3421,DB08818,1462
3422,DB01159,2554
3423,DB01176,1559
3424,DB00455,3269
3425,DB00035,553
3426,DB01242,2950
3427,DB00342,1558
3428,DB02733,5594
3429,DB01273,1136
3430,DB04175,2203
3431,DB06738,116443
3432,DB00514,1137
3433,DB03864,5550
3434,DB00997,4846
3435,DB06148,3350
3436,DB04606,2155
3437,DB03753,5742
3438,DB08156,760
3439,DB07821,1066
3440,DB08516,4129
3441,DB07766,815
3442,DB02341,1991
3443,DB00389,1588
3444,DB04368,64146
3445,DB08784,57407
3446,DB01174,116444
3447,DB04933,7099
3448,DB00199,3757
3449,DB00563,2356
3450,DB00156,6897
3451,DB00220,1565
3452,DB01159,6010
3453,DB01267,151
3454,DB02783,2806
3455,DB04930,1555
3456,DB03996,3832
3457,DB07754,2346
3458,DB01355,2555
3459,DB08658,590
3460,DB08811,5138
3461,DB00796,5742
3462,DB08844,5836
3463,DB00783,1557
3464,DB00909,1557
3465,DB05087,2558
3466,DB09202,152
3467,DB05013,5578
3468,DB00054,715
3469,DB00477,59340
3470,DB00678,1559
3471,DB00523,6256
3472,DB00772,1555
3473,DB07193,1803
3474,DB06287,1577
3475,DB07196,4048
3476,DB01235,1644
3477,DB00718,204
3478,DB01624,1813
3479,DB00425,1577
3480,DB00122,1120
3481,DB06710,1588
3482,DB11362,1558
3483,DB00250,10
3484,DB00725,1131
3485,DB03311,5770
3486,DB00273,1557
3487,DB00119,6566
3488,DB02822,126
3489,DB08838,3758
3490,DB06725,5743
3491,DB06616,6714
3492,DB00143,2877
3493,DB00373,1565
3494,DB00568,1816
3495,DB00363,147
3496,DB00531,1558
3497,DB00183,590
3498,DB01136,150
3499,DB02878,210
3500,DB00415,6564
3501,DB00162,1543
3502,DB06901,63036
3503,DB07259,4048
3504,DB01229,8856
3505,DB05147,84790
3506,DB01274,1559
3507,DB08262,3043
3508,DB00594,6337
3509,DB00313,5742
3510,DB01392,1576
3511,DB00126,8424
3512,DB00747,1131
3513,DB08241,1017
3514,DB07131,5644
3515,DB01623,1544
3516,DB08463,890
3517,DB08772,231
3518,DB05157,5603
3519,DB01419,5743
3520,DB02062,4311
3521,DB01065,2099
3522,DB01618,1813
3523,DB07530,7421
3524,DB04946,1544
3525,DB04050,4151
3526,DB00921,1565
3527,DB04760,4322
3528,DB00876,185
3529,DB08690,7386
3530,DB00334,3361
3531,DB00295,7363
3532,DB00130,7051
3533,DB00738,1579
3534,DB03660,1803
3535,DB08932,1576
3536,DB00171,8883
3537,DB01363,4129
3538,DB04186,1017
3539,DB03046,5328
3540,DB00313,7915
3541,DB06603,83933
3542,DB01338,1131
3543,DB05387,4318
3545,DB01409,1129
3546,DB08325,53944
3547,DB03909,487
3548,DB00514,1555
3549,DB00515,7498
3550,DB00586,1559
3551,DB00210,6256
3552,DB01211,28234
3553,DB00541,7277
3554,DB04079,6010
3555,DB06262,5053
3556,DB00870,7364
3557,DB05223,8841
3558,DB08235,10109
3559,DB04842,3356
3560,DB00570,7846
3561,DB00906,1576
3562,DB08689,6391
3563,DB00753,2562
3564,DB00629,1544
3565,DB03695,1719
3566,DB00072,1588
3567,DB03158,3633
3568,DB00268,1813
3569,DB00175,1559
3570,DB06772,81027
3571,DB00559,1910
3572,DB01169,1543
3573,DB00197,7364
3574,DB04660,2760
3575,DB04604,5595
3576,DB07662,1956
3577,DB00379,1576
3578,DB00703,1571
3579,DB00201,1565
3580,DB00540,3362
3581,DB01628,1571
3582,DB00564,7364
3583,DB00472,1559
3584,DB00114,79896
3585,DB00321,3362
3586,DB01288,154
3587,DB06216,3358
3588,DB08515,5684
3589,DB02482,5566
3590,DB00752,1548
3591,DB07401,29796
3592,DB01437,2567
3593,DB01154,3767
3594,DB05080,3269
3595,DB00864,100861540
3596,DB00864,1551
3597,DB00071,5122
3598,DB01049,3352
3599,DB08500,5837
3600,DB02395,1728
3601,DB01028,2554
3602,DB01283,54600
3603,DB00413,151
3604,DB02429,760
3605,DB07212,2160
3606,DB00756,2746
3607,DB02871,126
3608,DB09078,2264
3609,DB00472,1565
3610,DB03456,1513
3611,DB00060,3454
3612,DB09028,1139
3613,DB09028,89832
3614,DB07859,5566
3615,DB02527,5573
3616,DB04920,1576
3617,DB03096,1509
3618,DB02106,7068
3619,DB00898,2559
3620,DB00898,1544
3621,DB04594,3155
3622,DB00191,4129
3623,DB08254,5644
3624,DB00002,713
3625,DB03546,2618
3626,DB08437,6167
3627,DB00211,146
3628,DB00337,2280
3629,DB00523,5914
3630,DB00605,5743
3631,DB00640,136
3632,DB02028,7275
3633,DB06637,3737
3634,DB00925,151
3635,DB05153,3815
3636,DB00203,1557
3637,DB07011,4843
3638,DB01189,55879
3639,DB00092,2215
3640,DB04894,6869
3641,DB08439,1559
3642,DB02093,2821
3643,DB08744,4835
3644,DB04233,6010
3645,DB01045,54658
3646,DB00254,1576
3647,DB04975,1543
3648,DB00404,2565
3649,DB02526,5328
3650,DB00091,819
3651,DB08597,2280
3652,DB01972,471
3653,DB01268,3791
3654,DB09068,6532
3655,DB01352,2555
3656,DB07384,506
3657,DB07692,5315
3658,DB00696,3356
3659,DB00559,1576
3660,DB06914,3162
3661,DB02613,1723
3662,DB00294,1576
3663,DB00201,5139
3664,DB01589,2555
3665,DB08901,5156
3666,DB07724,8648
3667,DB00157,1036
3668,DB01026,1557
3669,DB00914,3764
3670,DB03338,5467
3671,DB03702,1990
3672,DB00175,1576
3673,DB05785,3725
3674,DB00586,6329
3675,DB00674,590
3676,DB00129,4946
3677,DB00920,5144
3678,DB01708,2903
3679,DB01285,1591
3680,DB00248,148
3681,DB04178,671
3682,DB00656,3358
3683,DB00546,1576
3684,DB01068,2566
3685,DB01624,150
3686,DB07954,5140
3687,DB01752,5409
3688,DB06706,148
3689,DB01234,1588
3690,DB07297,3932
3691,DB08546,2147
3692,DB08868,8877
3693,DB00127,6611
3694,DB00526,2944
3695,DB00604,3360
3696,DB08885,7423
3697,DB08271,4319
3698,DB00794,1576
3699,DB01229,1558
3700,DB00908,1543
3701,DB00974,1544
3702,DB05492,4987
3703,DB04163,200895
3704,DB05651,3065
3705,DB04924,1813
3706,DB00501,1557
3707,DB00725,1128
3708,DB01303,5141
3709,DB08688,55856
3710,DB01244,1565
3711,DB07791,1017
3712,DB01008,1576
3713,DB08437,51187
3714,DB02266,367
3715,DB03064,54363
3716,DB07837,6446
3717,DB01365,150
3718,DB00321,10280
3719,DB00907,1576
3720,DB00758,1559
3721,DB08890,2984
3722,DB01594,2560
3723,DB06712,1544
3724,DB00370,1814
3725,DB00290,642
3726,DB00842,2564
3727,DB00734,151
3728,DB05266,5142
3729,DB01281,942
3730,DB01352,1139
3731,DB01352,89832
3732,DB00285,1555
3733,DB04077,9061
3734,DB00721,3780
3735,DB00656,3269
3736,DB03847,632
3737,DB00615,1576
3738,DB01215,2562
3739,DB02692,4842
3740,DB00284,8972
3741,DB04444,487
3742,DB03273,191
3743,DB04197,383
3744,DB00786,4327
3745,DB00020,1439
3746,DB08827,1576
3747,DB04861,154
3748,DB09033,3676
3749,DB03354,5837
3750,DB07258,4048
3751,DB07401,1537
3752,DB04109,5646
3753,DB08521,1432
3754,DB03092,279
3755,DB03650,5292
3756,DB00257,1583
3757,DB09049,1565
3758,DB01175,1565
3759,DB00184,1557
3760,DB01009,3577
3761,DB09031,5337
3762,DB00166,8884
3763,DB00381,1576
3764,DB07740,3157
3765,DB00143,221357
3766,DB00495,1576
3767,DB02942,8411
3768,DB08895,1557
3769,DB07380,1504
3770,DB00396,100861540
3771,DB00396,1551
3772,DB05087,2556
3773,DB01274,1557
3774,DB00716,57105
3775,DB01028,2566
3776,DB00514,4689
3777,DB06148,3362
3778,DB00457,1543
3779,DB00418,116443
3780,DB02506,5520
3781,DB08198,3832
3782,DB00379,196
3783,DB00588,5321
3784,DB00777,1813
3785,DB00082,2752
3786,DB07401,7381
3787,DB08499,836
3788,DB01558,2555
3789,DB06273,3570
3790,DB01439,4985
3791,DB06959,5569
3792,DB04256,2911
3793,DB03866,5743
3794,DB00945,53632
3795,DB00127,6303
3796,DB00095,713
3797,DB01463,6531
3798,DB05492,3356
3799,DB06698,11255
3800,DB00243,1565
3801,DB00277,100
3802,DB04868,1555
3803,DB00397,148
3804,DB00358,135
3805,DB08651,7155
3806,DB00624,1588
3807,DB00128,55157
3808,DB07879,9759
3809,DB07558,5688
3810,DB00128,790
3811,DB00425,1557
3812,DB05035,7068
3813,DB04395,5292
3814,DB00572,1133
3815,DB00956,1565
3816,DB01351,2554
3817,DB08489,4316
3818,DB04840,6530
3819,DB04889,1565
3820,DB07032,2100
3821,DB01174,1544
3822,DB02709,5742
3823,DB05675,2243
3824,DB01056,6331
3825,DB00157,218
3826,DB01594,2565
3827,DB01179,1576
3828,DB09068,1548
3829,DB00526,1728
3830,DB04509,1066
3831,DB00392,116443
3832,DB03494,5644
3833,DB01435,5743
3834,DB00114,2806
3835,DB07250,2050
3836,DB07853,51765
3837,DB00450,148
3838,DB00248,1813
3839,DB08875,1559
3840,DB08756,5566
3841,DB06267,1577
3842,DB00166,5447
3843,DB00228,3736
3844,DB00699,1565
3845,DB06911,2147
3846,DB00227,3683
3847,DB04552,5742
3848,DB05003,6240
3849,DB01087,1543
3850,DB00549,1559
3851,DB00328,1559
3852,DB04899,4882
3853,DB03088,276
3854,DB03088,277
3855,DB03088,278
3856,DB07807,5837
3857,DB08818,1463
3858,DB01041,1571
3859,DB03879,4153
3860,DB02341,1990
3861,DB04855,785
3862,DB00308,775
3863,DB05708,1544
3864,DB00129,5009
3865,DB00334,1129
3866,DB01028,2557
3867,DB08183,3716
3868,DB00480,5743
3869,DB05087,2555
3870,DB04632,1432
3871,DB00131,84532
3872,DB01239,1128
3873,DB07221,9453
3874,DB01049,3355
3875,DB00690,2558
3876,DB01236,1548
3877,DB06983,1017
3878,DB00818,54658
3879,DB00935,146
3880,DB04682,7125
3881,DB01049,1812
3882,DB00306,2891
3883,DB02057,2891
3884,DB00399,9453
3885,DB02726,2027
3886,DB08133,1017
3887,DB00171,10188
3888,DB06637,9312
3889,DB00248,3363
3890,DB00371,2563
3891,DB08707,5292
3892,DB00630,523
3893,DB00217,153
3894,DB00600,7299
3895,DB00412,2182
3896,DB04203,760
3897,DB00280,6331
3898,DB01725,5644
3899,DB01159,3777
3900,DB00246,3354
3901,DB01151,1548
3902,DB00986,1128
3903,DB09052,930
3904,DB00312,2898
3905,DB01023,781
3906,DB01050,1559
3907,DB02116,983
3908,DB00311,766
3909,DB00546,200959
3910,DB02226,43
3911,DB03010,7277
3912,DB08799,3269
3913,DB00246,3358
3914,DB05066,3553
3915,DB07190,2147
3916,DB05147,347733
3917,DB06711,150
3918,DB01049,151
3919,DB00761,6560
3920,DB01154,1559
3921,DB01612,4881
3922,DB01181,1576
3923,DB01790,5573
3924,DB00701,1558
3925,DB02744,5644
3926,DB02482,6790
3927,DB01280,1633
3928,DB01184,1558
3929,DB07690,79631
3930,DB08418,760
3931,DB03814,653509
3932,DB00036,2155
3933,DB00622,1557
3934,DB00477,3269
3935,DB01128,367
3936,DB01224,1813
3937,DB07574,7846
3938,DB04644,5837
3939,DB09068,3363
3940,DB07130,5770
3941,DB00246,3359
3942,DB00328,5468
3943,DB07180,4751
3944,DB08782,760
3945,DB04027,1158
3946,DB00604,1565
3947,DB01126,1577
3948,DB01549,1813
3949,DB04743,4057
3950,DB00197,5054
3951,DB07186,6790
3952,DB00835,1558
3953,DB00640,135
3954,DB04350,1118
3955,DB01261,1558
3956,DB01622,1813
3957,DB06779,7422
3958,DB07922,4321
3959,DB00197,2182
3960,DB00317,1956
3961,DB00674,1146
3962,DB02482,1022
3963,DB00041,3561
3964,DB07835,1432
3965,DB00418,1559
3966,DB00850,1565
3967,DB00909,8912
3968,DB00246,1576
3969,DB00514,653361
3970,DB01144,762
3971,DB00898,2741
3972,DB01623,3356
3973,DB01419,5742
3974,DB03444,2932
3975,DB03147,27034
3976,DB06727,1565
3977,DB01149,147
3978,DB03845,1841
3979,DB00468,1559
3980,DB02726,2026
3981,DB08398,10499
3982,DB07217,5602
3983,DB01171,4128
3984,DB03297,6648
3985,DB01520,116444
3986,DB03461,1429
3987,DB07198,2100
3988,DB07903,23173
3989,DB06643,8600
3990,DB01028,2563
3991,DB08896,1969
3992,DB06900,5652
3993,DB00116,4524
3994,DB00661,100861540
3995,DB00661,1551
3996,DB01065,1543
3997,DB02486,2938
3998,DB07696,836
3999,DB00287,5737
4000,DB00543,3350
4001,DB01567,2561
4002,DB01087,4835
4003,DB00744,1544
4004,DB00477,5005
4005,DB05383,231
4006,DB00661,8911
4007,DB07346,23621
4008,DB05216,5156
4009,DB00861,5743
4010,DB00768,3269
4011,DB02016,4047
4012,DB01351,1139
4013,DB01351,89832
4014,DB01053,9376
4015,DB01185,2908
4016,DB02824,4953
4017,DB05472,3455
4018,DB00333,1558
4019,DB01353,2559
4020,DB01365,153
4021,DB01558,1571
4022,DB02659,1340
4023,DB04716,1613
4024,DB00119,5313
4025,DB00818,1548
4026,DB00829,1558
4027,DB00661,8913
4028,DB00201,472
4029,DB00115,4594
4030,DB00642,2030
4031,DB00150,10352
4032,DB00151,1491
4033,DB00172,65263
4034,DB01262,1786
4035,DB01594,2567
4036,DB07724,5465
4037,DB00622,1576
4038,DB03841,7498
4039,DB03247,8986
4040,DB08349,1432
4041,DB01761,1432
4042,DB01141,1312
4043,DB08806,3274
4044,DB00231,2560
4045,DB00170,7498
4046,DB00421,6715
4047,DB01097,1559
4048,DB00909,4128
4049,DB02035,5538
4050,DB03918,4846
4051,DB00696,1576
4052,DB00657,1135
4053,DB01754,5292
4054,DB05066,2668
4055,DB00747,1132
4056,DB00713,6564
4057,DB01452,4985
4058,DB01628,1565
4059,DB00640,134
4060,DB04799,10975
4061,DB08301,760
4062,DB00087,2209
4063,DB00306,2563
4064,DB07956,1990
4065,DB03401,9266
4066,DB04355,2992
4067,DB00055,10544
4068,DB00231,2563
4069,DB00734,3350
4070,DB07252,2050
4071,DB00517,1129
4072,DB00370,150
4073,DB00306,2556
4074,DB04077,51477
4075,DB00543,6531
4076,DB08617,8565
4077,DB00189,2556
4078,DB00608,1576
4079,DB01114,100861540
4080,DB01114,1551
4081,DB00145,10249
4082,DB07376,2147
4083,DB00402,2564
4084,DB00571,1543
4085,DB00627,4837
4086,DB00292,2558
4087,DB00628,2567
4088,DB04894,6752
4089,DB07514,3791
4091,DB00140,4128
4092,DB01231,1129
4093,DB00285,1576
4094,DB02471,5837
4095,DB00360,5053
4096,DB07458,5566
4097,DB05253,5241
4098,DB06366,2064
4099,DB08183,7297
4100,DB00422,6531
4101,DB00145,6472
4102,DB04055,5837
4103,DB00586,7364
4104,DB01232,100861540
4105,DB01232,1551
4106,DB00092,2212
4107,DB08816,1576
4108,DB00940,3274
4109,DB00946,1576
4110,DB02110,54205
4111,DB03501,28
4112,DB06204,6532
4113,DB06853,5644
4114,DB02977,5770
4115,DB01136,1565
4116,DB00193,6532
4117,DB06697,1576
4118,DB00273,2565
4119,DB00139,6561
4120,DB06228,1577
4121,DB07340,9212
4122,DB00328,2739
4123,DB00625,1576
4124,DB01062,1129
4125,DB00635,1576
4126,DB00440,1576
4127,DB00976,1576
4128,DB01069,1133
4129,DB01424,1557
4130,DB01159,2562
4131,DB01224,151
4132,DB02068,210
4133,DB02935,7184
4134,DB00545,43
4135,DB00047,1544
4136,DB00537,1544
4137,DB00136,1591
4139,DB08820,1080
4140,DB00252,1558
4141,DB00757,3359
4142,DB02098,6037
4143,DB04137,5911
4144,DB01189,2564
4145,DB00869,759
4146,DB01844,5972
4147,DB01136,3757
4148,DB00123,6542
4149,DB01403,3358
4150,DB04795,6389
4151,DB00145,92292
4152,DB00918,1576
4153,DB01023,5153
4154,DB00054,9103
4155,DB04953,54657
4156,DB08004,83903
4157,DB01240,64805
4158,DB03828,6714
4159,DB07357,28
4160,DB01972,2987
4161,DB06204,1559
4162,DB00459,5916
4163,DB00748,1555
4164,DB00208,1543
4165,DB01966,5660
4166,DB07320,1111
4167,DB00138,6519
4168,DB00842,2561
4169,DB09078,2261
4170,DB08896,2263
4171,DB01558,2557
4172,DB04326,229
4173,DB00056,2214
4174,DB00916,1558
4175,DB00436,6559
4176,DB00157,5161
4177,DB05913,3815
4178,DB00968,150
4179,DB00513,5327
4180,DB00157,4712
4181,DB00184,1142
4182,DB01363,6571
4183,DB00145,9152
4184,DB08655,1387
4185,DB00370,1558
4187,DB02306,58488
4188,DB00201,5153
4189,DB00257,1544
4190,DB07113,5972
4191,DB01296,4318
4192,DB00583,4353
4193,DB04272,1360
4194,DB04920,1559
4195,DB00546,2555
4196,DB01049,147
4198,DB00379,1571
4199,DB03737,1017
4200,DB00128,10165
4201,DB00431,2743
4202,DB00594,6340
4203,DB08214,4843
4204,DB00157,3290
4205,DB00690,2567
4206,DB00030,94121
4207,DB00818,2562
4208,DB01364,6530
4209,DB00371,2559
4210,DB01392,3351
4211,DB05168,2352
4212,DB02153,7001
4213,DB06103,3615
4214,DB00404,2563
4215,DB00824,5141
4216,DB07757,2100
4217,DB00420,1559
4218,DB04009,1528
4219,DB00342,1576
4220,DB00921,1577
4221,DB05883,5741
4222,DB02152,4233
4223,DB03451,7421
4224,DB00277,1543
4225,DB02377,2643
4226,DB01254,1545
4227,DB01067,1559
4228,DB01198,706
4229,DB02499,383
4230,DB06070,3326
4231,DB06779,10855
4232,DB02379,197021
4233,DB02750,79631
4234,DB00721,590
4235,DB00734,147
4236,DB01068,2558
4237,DB02546,55869
4239,DB08043,25
4240,DB07857,5569
4241,DB07374,6147
4242,DB04930,6323
4243,DB01236,55879
4244,DB01587,2564
4245,DB04077,125
4246,DB04327,10544
4247,DB00726,1565
4248,DB01107,2566
4249,DB00157,3283
4250,DB00537,7153
4251,DB05260,526
4252,DB00580,54600
4253,DB00343,1558
4254,DB00398,2321
4255,DB00401,781
4256,DB01273,1137
4257,DB00401,779
4258,DB00589,152
4259,DB01041,5005
4260,DB07845,5599
4261,DB08896,2324
4262,DB04315,5879
4263,DB00462,1131
4264,DB00505,1129
4265,DB00712,5742
4266,DB01079,1565
4267,DB00241,2568
4268,DB02740,567
4269,DB01244,773
4270,DB03633,5319
4271,DB00338,1543
4272,DB04877,5243
4273,DB05492,150
4274,DB05155,4986
4275,DB01393,5467
4276,DB00454,1131
4277,DB01189,2559
4278,DB08901,1558
4279,DB00117,3067
4280,DB09079,6714
4281,DB00401,775
4282,DB04381,217
4283,DB00171,156
4284,DB07994,23621
4285,DB05111,3458
4286,DB00141,4669
4287,DB08507,4314
4288,DB08400,2166
4289,DB04338,1432
4290,DB00200,6947
4291,DB08929,23621
4292,DB00590,1557
4293,DB00338,1583
4294,DB00122,5130
4295,DB01237,3269
4296,DB00882,1583
4297,DB04465,360203
4298,DB00071,3119
4299,DB00835,1559
4300,DB03519,5009
4301,DB07401,7384
4302,DB00404,55879
4303,DB00795,3551
4304,DB00675,100861540
4305,DB00675,1551
4306,DB01361,1558
4307,DB01028,1571
4308,DB02101,231
